newsid	newwords	covertitle
160150542	为林心如:6,霍建华为:5,贴脸自拍:4,二人贴脸:4	霍建华为林心如庆生，二人贴脸自拍超甜蜜，谁留意他手上的戒指？
160150571	鲨鱼菲特:4,时间煮酒:4	鲨鱼菲特、云朵玫瑰、优粮之造、时间煮酒等10家食品类&酒水类资源找合作|黑马推荐
160150576	社区团购:9	社区团购终于进入北京，美团滴滴一东一南，首先瞄准五环外市场
160150586	叙利亚军医:4	国防部、外交部发言人“联袂推介”叙利亚军医
160150597	睡眠空调:10,母婴睡眠:10,科龙母婴:8	权威认证！科龙母婴睡眠空调首批通过“母婴团标”评测
160150631	科然生物:16	赵谋明教授带领科然生物代表参观实验室，并和科然肽达成合作意向
160150641	娱乐圈门槛:5	高嘉朗欺骗粉丝，黄子韬感慨娱乐圈门槛越来越低，梦想太可笑了
160150666	张碧晨华晨宇:4	张碧晨华晨宇的瓜，小说情节才有的故事
160150676	糖尿病患者:7	多数糖尿病患者都存在4个饮食误区，若还不改，就相当于慢性自杀
160150662	电影学院:4	青岛电影学院来了！原“北电创媒”，2018年开设播音，学费58000
160150736	吕德华:16,王者营地:4,华组建:4	王者营地杯来袭，吕德华组建混之队，直言巅峰赛2500的混子不好找
160150746	科技成果转化:19,核心科技成果:16,成果转化:9,高质量发展:5,经济高质量:4	以核心科技成果转化促进经济高质量发展
160150535	还能预防:6,预防衰老:6,补充营养:5	牢记女人年过50岁，多吃3种食物，补充营养，还能预防衰老
160150672	花生米就能:4,就能做:4,无油低糖:4,特别香:4	过年少不了这小吃，用花生米就能做，一咬嘎嘣脆，无油低糖特别香
160150539	本土国脚:4	值了!中超巴西新外援年薪仅970万：比中国本土国脚还低!
160150550	加装电梯:17	加装电梯第一步做什么？要出多少钱？小松为你问到了
160150555	医生太:4,太暴力:4	大妈去医院种牙，嘴巴都歪了，大妈：医生太暴力了
160150533	工业互联网:34,环境产业:26,工业互联网平台:12,赋能环境:4	降本增效提质,赋能环境产业 我国首个环境工业互联网平台“花落”崂山
160150560	天时盛宴:9,豫酒振兴:4	32场“天时盛宴”惊艳中原，实力演绎豫酒振兴的“天地人和”
160150806	停贷潮:9	严跃进：房市“停贷潮”的真相到底如何？
160150821	镉超标:21,超标大米:18,毒大米:4	起底镉超标大米：明知是毒大米 买卖却轻而易举！
160150558	疫情防控:4	宁夏发布最新方案！事关春运疫情防控！
